ActorName,Name,Type,Flag To Unlock,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height
Tower01,Lookout Landing Skyview Tower,Tower,IsVisitLocation.Tower01,-299,143,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower02,Lindor's Brow Skyview Tower,Tower,IsVisitLocation.Tower02,-1910,1245,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower03,Pikida Stonegrove Skyview Tower,Tower,IsVisitLocation.Tower03,-2311,3062,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower04,Eldin Canyon Skyview Tower,Tower,IsVisitLocation.Tower04,1642,1191,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower05,Ulri Mountain Skyview Tower,Tower,IsVisitLocation.Tower05,3499,2026,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower06,Sahasra Slope Skyview Tower,Tower,IsVisitLocation.Tower06,1341,-1178,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower07,Upland Zorana Skyview Tower,Tower,IsVisitLocation.Tower07,2866,581,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower08,Hyrule Field Skyview Tower,Tower,IsVisitLocation.Tower08,-761,-1019,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower09,Gerudo Canyon Skyview Tower,Tower,IsVisitLocation.Tower09,-2439,-2183,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower10,Gerudo Highlands Skyview Tower,Tower,IsVisitLocation.Tower10,-3961,-1306,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower11,Rabella Wetlands Skyview Tower,Tower,IsVisitLocation.Tower11,2420,-2755,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower12,Thyphlo Ruins Skyview Tower,Tower,IsVisitLocation.Tower12,344,3142,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower13,Popla Foothills Skyview Tower,Tower,IsVisitLocation.Tower13,605,-2127,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower14,Mount Lanayru Skyview Tower,Tower,IsVisitLocation.Tower14,3848,-1315,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower15,Rospro Pass Skyview Tower,Tower,IsVisitLocation.Tower15,-3680,2346,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon000,Tajikats Shrine,Shrine,IsVisitLocation.Dungeon000,344,-1009,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon001,Jochi-iu Shrine,Shrine,IsVisitLocation.Dungeon001,4347,2876,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon002,Sitsum Shrine,Shrine,IsVisitLocation.Dungeon002,2369,2596,804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon003,Oromuwak Shrine,Shrine,IsVisitLocation.Dungeon003,-3079,1617,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon004,Mayachin Shrine,Shrine,IsVisitLocation.Dungeon004,-706,-869,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon005,Musanokir Shrine,Shrine,IsVisitLocation.Dungeon005,408,2134,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon006,Ren-iz Shrine,Shrine,IsVisitLocation.Dungeon006,756,824,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon007,Sahirow Shrine,Shrine,IsVisitLocation.Dungeon007,-3354,2386,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon008,Rotsumamu Shrine,Shrine,IsVisitLocation.Dungeon008,-3407,-1363,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon009,Mayamats Shrine,Shrine,IsVisitLocation.Dungeon009,-4638,-1513,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
