Type	Material	Total Need for all upgrades	Consumed (for upgrades)	Need
Enemy	Aerocuda Eyeball	42	42	0
Enemy	Aerocuda Wing	63	33	31
Enemy	Black Bokoblin Horn	15	15	0
Enemy	Black Horriblin Horn	15	0	16
Enemy	Black Lizalfos Horn	15	0	16
Enemy	Black Moblin Horn	15	0	16
Enemy	Blue Bokoblin Horn	15	15	0
Enemy	Blue Horriblin Horn	15	15	0
Enemy	Blue Lizalfos Horn	15	15	0
Enemy	Blue Lizalfos Tail	15	0	16
Enemy	Blue Moblin Horn	15	15	0
Enemy	Bokoblin Fang	9	9	0
Enemy	Bokoblin Guts	45	30	16
Enemy	Bokoblin Horn	15	15	0
Enemy	Captain Construct I Horn	15	10	6
Enemy	Captain Construct II Horn	15	10	6
Enemy	Captain Construct III Horn	15	0	16
Enemy	Chuchu Jelly	15	15	0
Enemy	Electric Keese Wing	15	15	0
Enemy	Electric Lizalfos Horn	33	18	16
Enemy	Electric Lizalfos Tail	54	10	45
Enemy	Fire Keese Wing	45	15	31
Enemy	Fire Like Stone	15	15	0
Enemy	Fire-Breath Lizalfos Horn	30	15	16
Enemy	Fire-Breath Lizalfos Tail	48	18	31
Enemy	Gibdo Bone	50	50	0
Enemy	Gibdo Guts	5	5	0
Enemy	Gibdo Wing	24	0	25
Enemy	Horriblin Guts	39	9	31
Enemy	Horriblin Horn	15	15	0
Enemy	Ice Keese Wing	39	39	0
Enemy	Ice Like Stone	15	15	0
Enemy	Ice-Breath Lizalfos Horn	30	15	16
Enemy	Ice-Breath Lizalfos Tail	54	24	31
Enemy	Keese Eyeball	30	30	0
Enemy	Keese Wing	18	18	0
Enemy	Lizalfos Horn	9	9	0
Enemy	Lizalfos Tail	18	18	0
Enemy	Lizalfos Talon	15	15	0
Enemy	Moblin Fang	15	15	0
Enemy	Moblin Guts	15	15	0
Enemy	Moblin Horn	9	9	0
Enemy	Octo Balloon	5	5	0
Enemy	Octorok Eyeball	6	6	0
Enemy	Octorok Tentacle	5	5	0
Enemy	Red Chuchu Jelly	24	24	0
Enemy	Shock Like Stone	15	5	11
Enemy	Silver Bokoblin Horn	24	0	25
Enemy	Silver Lizalfos Horn	9	0	10
Enemy	Silver Moblin Horn	9	0	10
Enemy	Soldier Construct Horn	15	15	0
Enemy	Soldier Construct II Horn	15	10	6
Enemy	Soldier Construct III Horn	15	10	6
Enemy	Soldier Construct IV Horn	15	0	16
Enemy	White Chuchu Jelly	24	24	0
Enemy	Yellow Chuchu Jelly	33	33	0
Boss	Black Boss Bokoblin Horn	9	9	0
Boss	Black Hinox Horn	9	0	10
Boss	Blue Boss Bokoblin Horn	9	9	0
Boss	Blue-Maned Lynel Mace Horn	9	6	4
Boss	Blue-Maned Lynel Saber Horn	9	6	4
Boss	Blue-White Frox Fang	15	0	16
Boss	Boss Bokoblin Guts	9	9	0
Boss	Boss Bokoblin Horn	9	9	0
Boss	Dark Clump	15	15	0
Boss	Frox Fang	9	9	0
Boss	Frox Fingernail	9	9	0
Boss	Frox Guts	18	0	19
Boss	Gleeok Flame Horn	15	0	16
Boss	Gleeok Frost Horn	15	0	16
Boss	Gleeok Guts	18	0	19
Boss	Gleeok Thunder Horn	15	0	16
Boss	Gleeok Wing	36	0	37
Boss	Hinox Guts	33	24	10
Boss	Hinox Toenail	15	15	0
Boss	Hinox Tooth	15	15	0
Boss	Lynel Guts	30	0	31
Boss	Lynel Hoof	15	0	16
Boss	Lynel Mace Horn	6	4	3
Boss	Lynel Saber Horn	6	4	3
Boss	Molduga Fin	5	5	0
Boss	Molduga Guts	23	0	24
Boss	Molduga Jaw	9	0	10
Boss	Obsidian Frox Fang	9	9	0
Boss	Silver Boss Bokoblin Horn	9	0	10
Boss	Silver Lynel Mace Horn	9	0	10
Boss	Silver Lynel Saber Horn	9	0	10
Boss	White-Maned Lynel Mace Horn	9	0	10
Boss	White-Maned Lynel Saber Horn	9	0	10
Animal	Bladed Rhino Beetle	9	0	10
Animal	Cold Darner	15	15	0
Animal	Deep Firefly	39	39	0
Animal	Electric Darner	15	5	11
Animal	Energetic Rhino Beetle	9	0	10
Animal	Fireproof Lizard	15	15	0
Animal	Hearty Lizard	5	0	6
Animal	Hightail Lizard	21	21	0
Animal	Hot-Footed Frog	30	30	0
Animal	Razorclaw Crab	9	6	4
Animal	Smotherwing Butterfly	24	9	16
Animal	Sneaky River Snail	15	15	0
Animal	Sticky Frog	30	30	0
Animal	Sticky Lizard	24	24	0
Animal	Summerwing Butterfly	15	15	0
Animal	Sunset Firefly	15	15	0
Animal	Thunderwing Butterfly	9	9	0
Animal	Warm Darner	15	15	0
Animal	Winterwing Butterfly	15	15	0
Fish	Chillfin Trout	30	0	31
Fish	Glowing Cave Fish	15	15	0
Fish	Hearty Bass	9	9	0
Fish	Hyrule Bass	15	15	0
Fish	Sizzlefin Trout	30	0	31
Fish	Stealthfin Trout	30	0	31
Fish	Voltfin Trout	30	0	31
Plant	Acorn	30	20	11
Plant	Blue Nightshade	24	24	0
Plant	Brightbloom Seed	90	90	0
Plant	Brightcap	15	15	0
Plant	Chillshroom	15	15	0
Plant	Cool Safflina	9	9	0
Plant	Courser Bee Honey	15	10	6
Plant	Dazzlefruit	60	20	41
Plant	Electric Safflina	24	16	9
Plant	Fire Fruit	9	9	0
Plant	Giant Brightbloom Seed	105	45	61
Plant	Ice Fruit	9	9	0
Plant	Mighty Bananas	30	0	31
Plant	Mighty Thistle	9	9	0
Plant	Puffshroom	9	9	0
Plant	Razorshroom	15	10	6
Plant	Rushroom	39	39	0
Plant	Shock Fruit	9	9	0
Plant	Silent Princess	72	10	63
Plant	Silent Shroom	24	24	0
Plant	Sundelion	75	0	76
Plant	Sunshroom	15	15	0
Plant	Swift Carrot	10	10	0
Plant	Swift Violet	90	0	91
